quartier,superficie,nombre_chambres,douche_wc,type_d_acces,meuble,etat_general,loyer_mensuel
Mahamasina,105,1,exterieur,voiture,non,bon,1507000
Andavamamba,51,1,exterieur,sans,non,bon,796000
Ankorondrano,67,1,interieur,moto,non,mauvais,1626000
Mahamasina,67,1,interieur,moto,non,bon,1320000
Ankatso,28,1,interieur,moto,non,mauvais,360000
Ivandry,75,2,interieur,moto,oui,mauvais,2705000
Isoraka,39,1,interieur,voiture,non,bon,1876000
Andavamamba,34,2,interieur,moto,non,bon,696000
Analakely,75,2,interieur,sans,non,mauvais,1308000
Ankatso,56,2,interieur,voiture_avec_parking,non,mauvais,906000
Andavamamba,76,4,interieur,moto,non,moyen,646000
Analakely,37,1,interieur,voiture,oui,bon,1424000
Andavamamba,99,1,interieur,sans,oui,bon,1082000
Itaosy,52,1,interieur,voiture_avec_parking,oui,mauvais,981000
Mahamasina,87,1,interieur,moto,oui,bon,1669000
Ambatoroka,96,2,exterieur,voiture,oui,bon,1887000
Ivandry,48,2,interieur,moto,oui,moyen,2594000
Mahamasina,49,3,interieur,voiture,non,moyen,1136000
Ivandry,57,3,interieur,voiture,oui,bon,3537000
Itaosy,15,3,interieur,moto,non,mauvais,423000
Alasora,17,2,exterieur,voiture_avec_parking,non,bon,1068000
Ivandry,29,4,exterieur,voiture_avec_parking,non,mauvais,2080000
Andavamamba,119,2,interieur,sans,oui,moyen,1214000
Ivandry,32,2,interieur,voiture,non,moyen,1909000
Ankorondrano,31,1,exterieur,moto,oui,bon,1786000
Isoraka,50,2,interieur,voiture,oui,bon,2432000
Ambatoroka,104,3,interieur,voiture,non,bon,1734000
Analakely,76,2,interieur,voiture,non,mauvais,1482000
Itaosy,57,3,exterieur,moto,non,moyen,682000
Analakely,48,1,interieur,voiture_avec_parking,non,bon,1694000
Mahamasina,92,1,interieur,moto,oui,bon,1733000
Itaosy,20,2,interieur,voiture_avec_parking,oui,bon,919000
Alasora,65,2,interieur,voiture_avec_parking,non,moyen,1674000
Mahamasina,54,2,interieur,voiture,non,moyen,1060000
Alasora,39,1,interieur,moto,non,moyen,854000
Isoraka,90,1,interieur,voiture,non,moyen,2406000
Isoraka,66,1,interieur,moto,oui,bon,2266000
Isoraka,86,2,interieur,voiture,non,moyen,2449000
Ivandry,15,2,interieur,voiture_avec_parking,non,bon,2223000
Ambatoroka,17,1,interieur,sans,non,moyen,419000
Alasora,69,3,interieur,voiture,non,mauvais,1399000
Alasora,58,2,interieur,moto,oui,mauvais,1231000
Isoraka,30,1,interieur,moto,oui,bon,1773000
Ambatoroka,86,2,exterieur,voiture,non,moyen,1224000
Isoraka,59,2,interieur,sans,non,moyen,1586000
Ankorondrano,59,3,interieur,sans,non,bon,2110000
Isoraka,32,3,interieur,voiture,oui,mauvais,1905000
